Date,HOTD,DOTW,Holi,Cons_1,Cons_7,Temp,Humi,WS,WCT,THI,Consumption
2016-01-11 18:00,18,1,0,0,0,5.9,92,5,5.103854447,43.29672,330
2016-01-11 19:00,19,1,0,0,0,6,91,6,4.872988683,43.5524,1430
2016-01-11 20:00,20,1,0,0,0,6,88,6,4.872988683,43.8032,690
2016-01-11 21:00,21,1,0,0,0,6,87,6,4.872988683,43.8868,780
2016-01-11 22:00,22,1,0,0,0,5.6,88,6,4.413133495,43.13072,620
2016-01-11 23:00,23,1,0,0,0,5.9,87,7,4.457655692,43.71967,1550
2016-01-12 0:00,0,1,0,0,0,5.3,92,6,4.068242104,42.26424,320
2016-01-12 1:00,1,2,0,0,0,5.1,92,6,3.83831451,41.92008,1190
2016-01-12 2:00,2,2,0,0,0,5.2,92,5,4.30973667,42.09216,670
2016-01-12 3:00,3,2,0,0,0,4.8,92,4,4.28550436,41.40384,260
2016-01-12 4:00,4,2,0,0,0,4.9,93,6,3.608386916,41.48143,220
2016-01-12 5:00,5,2,0,0,0,5,91,5,4.082845877,41.8415,280
2016-01-12 6:00,6,2,0,0,0,4.9,95,4,4.397150666,41.29245,260
2016-01-12 7:00,7,2,0,0,0,5.1,93,5,4.196291274,41.82757,230
2016-01-12 8:00,8,2,0,0,0,5.1,91,5,4.196291274,42.01259,440
2016-01-12 9:00,9,2,0,0,0,4.8,91,5,3.855955084,41.49932,430
2016-01-12 10:00,10,2,0,0,0,5.3,91,5,4.423182067,42.35477,470
2016-01-12 11:00,11,2,0,0,0,6.4,86,5,5.67108143,44.63496,1170
2016-01-12 12:00,12,2,0,0,0,7,81,7,5.73676428,46.0003,340
2016-01-12 13:00,13,2,0,0,0,7.5,79,7,6.318177275,46.94375,1120
2016-01-12 14:00,14,2,0,0,0,7,81,8,5.48337556,46.0003,910
2016-01-12 15:00,15,2,0,0,0,6.9,76,5,6.238308413,46.21256,810
2016-01-12 16:00,16,2,0,0,0,6.3,82,4,5.960198954,44.79134,200
2016-01-12 17:00,17,2,0,0,0,6.5,75,7,5.155351286,45.66625,270
2016-01-12 18:00,18,2,0,330,0,5.4,85,7,3.876242698,43.0631,1330
2016-01-12 19:00,19,2,0,1430,0,4.8,91,6,3.493423119,41.49932,320
2016-01-12 20:00,10,2,0,690,0,4.5,93,7,2.829699308,40.78915,340
2016-01-12 21:00,21,2,0,780,0,4.7,91,6,3.378459322,41.32823,310
2016-01-12 22:00,22,2,0,620,0,5.3,88,7,3.759960099,42.62636,230
2016-01-12 23:00,23,2,0,1550,0,5.5,84,6,4.298169698,43.3168,280
2016-01-13 0:00,0,2,0,320,0,6,80,8,4.308859696,44.472,270
2016-01-13 1:00,1,3,0,1190,0,5.3,88,8,3.486698591,42.62636,190
2016-01-13 2:00,2,3,0,670,0,5.3,91,8,3.486698591,42.35477,280
2016-01-13 3:00,3,3,0,260,0,5.5,89,8,3.721601764,42.87405,260
2016-01-13 4:00,4,3,0,220,0,5.4,89,8,3.604150178,42.70494,210
2016-01-13 5:00,5,3,0,280,0,5.2,90,8,3.369247005,42.2752,270
2016-01-13 6:00,6,3,0,260,0,5,90,7,3.411112302,41.935,220
2016-01-13 7:00,7,3,0,230,0,5.1,89,6,3.83831451,42.19761,490
2016-01-13 8:00,8,3,0,440,0,5,90,5,4.082845877,41.935,310
2016-01-13 9:00,9,3,0,430,0,5,88,4,4.508796972,42.122,1610
2016-01-13 10:00,10,3,0,470,0,5,88,5,4.082845877,42.122,1010
2016-01-13 11:00,11,3,0,1170,0,5.5,81,5,4.65007286,43.58245,340
2016-01-13 12:00,12,3,0,340,0,6,76,6,4.872988683,44.8064,370
2016-01-13 13:00,13,3,0,1120,0,5.5,78,5,4.65007286,43.8481,240
2016-01-13 14:00,14,3,0,910,0,6.9,71,5,6.238308413,46.58601,220
2016-01-13 15:00,15,3,0,810,0,6.3,69,6,5.217880074,45.83953,270
2016-01-13 16:00,16,3,0,200,0,6.4,63,4,6.07184526,46.46668,280
2016-01-13 17:00,17,3,0,270,0,5,71,3,5.035972898,43.7115,500
2016-01-13 18:00,18,3,0,1330,0,3.7,77,3,3.613517157,41.10651,590
2016-01-13 19:00,19,3,0,320,0,2.7,89,3,2.519320433,38.13897,710
2016-01-13 20:00,10,3,0,340,0,3.2,88,5,2.040828738,39.09584,1290
2016-01-13 21:00,21,3,0,310,0,3,89,5,1.813937944,38.6463,1450
2016-01-13 22:00,22,3,0,230,0,2.7,88,5,1.473601754,38.25524,2040
2016-01-13 23:00,23,3,0,280,0,3.2,86,6,1.654002367,39.31848,550
2016-01-14 0:00,0,3,0,270,0,2.8,89,5,1.587047151,38.30808,270
2016-01-14 1:00,1,4,0,190,0,2.9,90,5,1.700492548,38.3629,280
2016-01-14 2:00,2,4,0,280,0,2.8,93,5,1.587047151,37.84696,210
2016-01-14 3:00,3,4,0,260,0,3.2,89,6,1.654002367,38.98452,270
2016-01-14 4:00,4,4,0,210,0,3.4,89,5,2.267719531,39.32274,240
2016-01-14 5:00,5,4,0,270,0,3.3,90,6,1.768966164,39.0433,230
2016-01-14 6:00,6,4,0,220,0,3.4,90,5,2.267719531,39.2134,280
2016-01-14 7:00,7,4,0,490,0,4,89,9,1.70022348,40.3374,260
2016-01-14 8:00,8,4,0,310,0,3.7,92,8,1.607473209,39.51096,1390
2016-01-14 9:00,9,4,0,1610,0,1.3,98,3,0.987445019,34.60026,990
2016-01-14 10:00,10,4,0,1010,0,1.9,95,6,0.159473007,36.04095,1300
2016-01-14 11:00,11,4,0,340,0,2.3,93,4,1.494346703,36.98161,3300
2016-01-14 12:00,12,4,0,370,0,2.9,92,5,1.700492548,38.13432,1230
2016-01-14 13:00,13,4,0,240,0,4.2,88,6,2.803640337,40.77704,1550
2016-01-14 14:00,14,4,0,220,0,4.8,85,6,3.493423119,42.0722,420
2016-01-14 15:00,15,4,0,270,0,5.5,84,6,4.298169698,43.3168,720
2016-01-14 16:00,16,4,0,280,0,5.4,79,6,4.183205901,43.60034,260
2016-01-14 17:00,17,4,0,500,0,4.6,76,7,2.945981907,42.61904,2730
